
# A tibble: 31 × 9
   variable   CI95_lower CI95_upper CI90_lower CI90_upper CI50_lower CI50_upper CI30_lower CI30_upper
   <chr>           <dbl>      <dbl>      <dbl>      <dbl>      <dbl>      <dbl>      <dbl>      <dbl>
 1 b_Interce…  -10.3      -8.56     -10.2        -8.85     -9.91       -9.37     -9.81       -9.51   
 2 b_inertia    -0.0365    0.0695    -0.0265      0.0584   -0.00250     0.0234    0.000959    0.0171 
 3 b_recipro…   -0.0253    0.0817    -0.0170      0.0745    0.000869    0.0432    0.00623     0.0311 
 4 b_isp        -0.0877    0.0689    -0.0689      0.0520   -0.0186      0.0170   -0.00809     0.00753
 5 b_osp        -0.0605    0.160     -0.0394      0.134    -0.000614    0.0547    0.00519     0.0333 
 6 b_itp        -0.0324    0.126     -0.0291      0.110    -0.00127     0.0584    0.00578     0.0425 
 7 b_otp        -0.0851    0.0657    -0.0649      0.0493   -0.0312      0.00942  -0.0168      0.00246
 8 b_indegre…   -0.169     0.233     -0.106       0.181    -0.0110      0.0720   -0.000960    0.0396 
 9 b_outdegr…   -0.367     0.0487    -0.310       0.0292   -0.138      -0.00531  -0.121      -0.0228 
10 b_indegre…   -0.0343    0.552     -0.0101      0.501     0.146       0.394     0.233       0.351  
11 b_outdegr…   -0.0226    0.441     -0.00631     0.405     0.0920      0.297     0.147       0.258  
12 b_totalde…   -0.0884    0.442     -0.0516      0.366     0.00186     0.173     0.0179      0.102  
13 b_totalde…   -0.156     0.620     -0.0908      0.538    -0.0152      0.232    -0.000619    0.105  
14 b_recency…   -0.181     1.26      -0.114       0.907    -0.0272      0.118    -0.00565     0.0492 
15 b_recency…    0.275     5.66       1.49        5.20      2.64        4.18      3.00        3.88   
16 b_recency…    3.55      9.53       4.10        8.99      5.31        7.19      5.65        6.85   
17 b_recency…   -0.157     1.87      -0.0932      1.59     -0.00240     0.592     0.00767     0.217  
18 b_psABAB     -0.0114    2.19      -0.000484    2.06      0.351       1.60      0.802       1.43   
19 b_psABAY     -0.457     0.254     -0.291       0.163    -0.0407      0.0209   -0.0187      0.00508
20 b_psABBA      0.996     4.12       1.28        3.79      2.19        3.13      2.37        2.94   
21 b_psABBY     -0.677     0.310     -0.448       0.187    -0.0544      0.0192   -0.0284      0.00359
22 b_psABXA     -1.71      0.114     -1.52        0.0586   -1.00       -0.0107   -0.784      -0.0577 
23 b_psABXB     -0.121     1.04      -0.0647      0.929     0.00411     0.468     0.0310      0.265  
24 b_psABXY     -1.11      0.136     -0.860       0.0854   -0.249       0.00358  -0.152      -0.00539
25 b_send_ag…   -0.0785    0.126     -0.0564      0.0990   -0.00854     0.0285   -0.00137     0.0151 
26 b_receive…   -0.0642    0.179     -0.0495      0.145    -0.00816     0.0530   -0.000437    0.0321 
27 b_send_ge…   -0.0686    0.319     -0.0447      0.266     0.000174    0.0991    0.00994     0.0674 
28 b_receive…   -0.147     0.162     -0.106       0.120    -0.0203      0.0233   -0.00646     0.00929
29 b_inertia…   -0.00706  -0.000556  -0.00656    -0.00105  -0.00502    -0.00254  -0.00446    -0.00304
30 b_isp:osp    -0.0384    0.0194    -0.0296      0.0153   -0.00832     0.00396  -0.00479     0.00156
31 b_itp:otp    -0.0191    0.0439    -0.0137      0.0356   -0.00119     0.0167    0.000906    0.0119 

